From,Area,To,N
Columbia University Libraries,Reference Works,General Works,2
Cornell University,Reference Works,General Works,5
University of Chicago,Reference Works,General Works,1
University of Pennsylvania,Reference Works,General Works,2
Yale University,Reference Works,General Works,2
